"difficulty","question","metric","dimension","expected_answer","agent_answer","generated_sql"
"L3","Who are the top 5 brands by Gross Profit (GP) in Q2 2024?","Gross Profit (GP)","brand","### Gross Profit (Q2 2024)
**Answer**: Top 5 brands by GP (USD) for 2024-04 to 2024-06:
- YAGEO: USD 12,450,000.00
- PULSE: USD 9,800,000.00
- KEMET: USD 7,250,000.50
- CHILISIN: USD 6,900,000.00
- TOKIN: USD 6,320,000.75

**Scope**
- Includes all brands, GP across Q2 2024 (Apr–Jun)
- **Data status**: Month-end closed

**Context (optional)**
- GP computed as Total Sales minus Total Cost, using SHIPMENT (Billing) records for the period.

Would you like a YoY comparison to Q2 2023 or a breakdown by region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT TOP 5
    brand,
    SUM(total_sales) - SUM(total_cost) AS GP
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2024-04' AND year_month <= '2024-06'
    AND order_type = 'SHIPMENT'
  GROUP BY brand
  ORDER BY GP DESC;

- **Filters Applied**: year_month between '2024-04' and '2024-06'; order_type = 'SHIPMENT'
- **Time Range**: 2024-04 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","Top 5 Brands by Gross Profit (GP) in Q2 2024
Answer: 
1. KEMET
2. YAGEO
3. PULSE
4. Telemecanique
5. CHILISIN

Scope / Confidence
- Includes all reporting units and product groups for Q2 2024 (April–June), shipment orders only.
- Data status: Month-end closed.

Context
- Gross Profit (GP) is calculated as total sales minus total cost for each brand.
- Rankings are based on absolute GP, not margin percentage.

Would you like a breakdown by region or a comparison with prior quarters?

<details>
<summary>Technical Log</summary>

- SQL Query:
  ```
  SELECT brand, SUM(total_sales) - SUM(total_cost) AS gross_profit
  FROM ods.fact_monthly_sales_poa_billing
  WHERE order_type = 'SHIPMENT'
    AND year_month IN ('2024-04', '2024-05', '2024-06')
  GROUP BY brand
  ORDER BY gross_profit DESC
  LIMIT 5
  ```
- Filters Applied: order_type = 'SHIPMENT', year_month = '2024-04', '2024-05', '2024-06'
- Time Range: 2024-04 to 2024-06
- Data Source: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT TOP 5 brand, SUM(total_sales) - SUM(total_cost) AS gross_profit FROM ods.fact_monthly_sales_poa_billing WHERE year_month IN ('2024-04','2024-05','2024-06') AND order_type = 'SHIPMENT' GROUP BY brand ORDER BY gross_profit DESC""]"
"L3","Who are the top 5 End Customers by POA OTR Qty for the year 2024?","POA OTR Qty","End Customer","### Top 5 End Customers by POA OTR Qty (2024)
**Answer**: 
- Google (GOOGLE) — 128,543 units
- HON HAI — 101,234 units
- INFINEON — 87,652 units
- VALEO — 74,510 units
- Nexensos — 66,400 units

**Scope**
- Includes end customers aggregated across final_customer, local_assembler, and customer_parent
- Data reflects OTR (Order-to-Revenue) quantities for the full 2024 calendar year (ALL order types)

**Data status**: Year-to-date 2024, OTR totals computed from billing data

**Context (optional)**
- Provides the top five end customers by OTR quantity for 2024. Would you like this broken out by region (ru) or by product group (pbg/pbu) as a follow-up?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
WITH EndCustomer AS (
  SELECT
     COALESCE(final_customer, local_assembler, customer_parent) AS end_customer,
     SUM(total_qty) AS total_qty_otr
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2024-01' AND year_month <= '2024-12'
  GROUP BY COALESCE(final_customer, local_assembler, customer_parent)
)
SELECT end_customer, total_qty_otr
FROM EndCustomer
ORDER BY total_qty_otr DESC
OFFSET 0 ROWS FETCH NEXT 5 ROWS ONLY;
  
- **Filters Applied**: year_month between 2024-01 and 2024-12; include all order types (OTR)
- **Time Range**: 2024-01 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</summary>","Top 5 End Customers by POA OTR Qty (2024)
Answer: 
1. NOT ASSIGNED: 588,996,427,008 units
2. APPLE: 77,878,374,243 units
3. RUTRONIK: 49,585,082,548 units
4. HON HAI: 36,621,501,782 units
5. TTI: 34,266,881,992 units

Scope / Confidence
- Includes all brands and product groups
- Data status: Full-year to date, all order types included

Context
- Results represent total ""Order-to-Revenue"" (OTR) quantity shipped or billed, covering the full 2024 calendar year.
- ""NOT ASSIGNED"" typically represents transactions without a designated end customer, often for bulk or unidentified allocation orders.

Would you like a further breakdown by product, region, or would you like to see OTR sales (value) instead of quantity?

<details>
<summary>Technical Log</summary>

- SQL Query: 
  ```
  SELECT final_customer, SUM(total_qty) AS total_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month LIKE '2024%' 
  GROUP BY final_customer
  ORDER BY total_qty DESC
  LIMIT 5
  ```
- Filters Applied: year_month LIKE '2024%' (full year), all order types
- Time Range: Jan 2024 to Dec 2024
- Data Source: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT TOP 5 final_customer, SUM(total_qty) AS total_qty\nFROM ods.fact_monthly_sales_poa_billing\nWHERE year_month BETWEEN '2024-01' AND '2024-12'\nGROUP BY final_customer\nORDER BY total_qty DESC""]"
"L3","Show me the POA backlog by Region for 2024-09.","poa_backlog","Region","### Backlog (Region) (2024-09)
**Answer**: 
- AMERICAS: USD 2,450,000.00
- EMEA: USD 1,380,500.75
- GREAT CHINA: USD 3,210,750.40
- JAPAN & KOREA: USD 980,400.20
- SOUTHEAST ASIA: USD 540,120.10
- OTHERS: USD 210,060.60

**Scope**
- Dimension coverage: Backlog by region (ru) for year_month = 2024-09, using order_type <> 'SHIPMENT' from the Billing table.
- **Data status**: Month-end closed

**Context (optional)**
- This snapshot reflects non-shipment backlog values aggregated by region for September 2024. If you’d like, I can break this down by product hierarchy or customer as a follow-up.

Would you like a breakdown by region to include backlog by pbg/pbu, or a YoY/MoM comparison for backlog by region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT ru,
       SUM(total_sales) AS total_backlog_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-09'
  AND order_type <> 'SHIPMENT'
GROUP BY ru
ORDER BY ru;
```
- **Filters Applied**: year_month = '2024-09'; order_type <> 'SHIPMENT'
- **Time Range**: 2024-09 to 2024-09
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","POA Backlog by Region (2024-09)
Answer: 
- OTHERS: 26.59 (sales units/currency)
- GREAT CHINA: 93,783.41 (sales units/currency)
- EMEA: 0

Scope / Confidence
- Regional breakdown: OTHERS, GREAT CHINA, EMEA
- Data status: September 2024, Backlog only (order_type ≠ 'SHIPMENT')

Context
- Backlog = open sales orders not yet fulfilled (excluding shipments).
- No backlog reported for EMEA in this period.

Would you like further breakdown by brand or product group?

<details>
<summary>Technical Log</summary>

- SQL Query:
  ```sql
  SELECT ru, SUM(total_sales) AS total_backlog
  FROM ods.fact_monthly_sales_poa_billing
  WHERE order_type <> 'SHIPMENT' AND year_month = '2024-09'
  GROUP BY ru;
  ```
- Filters Applied: order_type ≠ 'SHIPMENT', year_month = 2024-09
- Time Range: 2024-09
- Data Source: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT ru, SUM(total_sales) AS total_backlog\nFROM ods.fact_monthly_sales_poa_billing\nWHERE order_type <> 'SHIPMENT' AND year_month = '2024-09'\nGROUP BY ru""]"
"L3","What is the GM% by brand for 2024-08?","GM%","brand","### GM% (2024-08)
**Answer**: 
- YAGEO: 24.00%
- PULSE: 25.00%
- KEMET: 20.00%
- CHILISIN: 22.11%
- TOKIN: 20.00%
- Nexensos: 20.00%
- BOTHHAND: 22.55%

**Scope**
- Includes GM% by brand for 2024-08 using Billing data (SHIPMENT only)

- **Data status**: Month-end closed

**Context (optional)**
- GM% by brand provides month-specific profitability efficiency. No YoY/MoM is requested here; if you’d like trend analysis, I can compute MoM/YoY deltas.

[Follow-up suggestion] Would you like a breakdown by region or product family as well?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  brand,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_sales) - SUM(total_cost) AS gp,
  (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2024-08'
  AND order_type = 'SHIPMENT'
GROUP BY
  brand
ORDER BY
  brand;
```
- **Filters Applied**: year_month = '2024-08'; order_type = 'SHIPMENT'
- **Time Range**: 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","Gross Margin Percentage (GM%) by Brand (2024-08)
**Answer**:
- KEMET: 39.1%
- PULSE: 35.0%
- BOTHHAND: 22.1%
- TOKIN: 30.4%
- Nexensos: 34.0%
- Telemecanique: 100% (no cost reported)
- FERROXCUBE: 6.0%
- CHILISIN: 37.9%
- YAGEO: 38.6%

**Scope / Confidence**
- Includes all brands, shipment orders only (order_type = 'SHIPMENT')
- Data status: Month-end closed

**Context**
- GM% calculated as (Total Sales - Total Cost) / Total Sales for each brand.
- Telemecanique has a reported GM% of 100% due to zero cost data, which may require review.

Would you like a further breakdown or details by region or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
  ```sql
  SELECT brand, SUM(total_sales) AS sum_sales, SUM(total_cost) AS sum_cost,
    (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-08' AND order_type = 'SHIPMENT'
  GROUP BY brand
  ```
- **Filters Applied**: year_month = 2024-08; order_type = 'SHIPMENT'; GROUP BY brand
- **Time Range**: 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT brand, SUM(total_sales) AS sum_sales, SUM(total_cost) AS sum_cost, \n       (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent\nFROM ods.fact_monthly_sales_poa_billing\nWHERE year_month = '2024-08' AND order_type = 'SHIPMENT'\nGROUP BY brand""]"
"L3","Who are the top 5 order types by POA OTR total sales in 2024?","total_sales","order_type","### Top 5 Order Types by POA OTR Total Sales (2024)
**Answer**:
- SHIPMENT: USD 52,000,000.00
- BACKLOG: USD 6,500,000.00
- BOOKING: USD 3,900,000.00
- PAST DUE: USD 3,200,000.00
- CONSIGNMENT: USD 2,700,000.00

**Scope**
- Includes all order types (OTR) across the full year 2024. No breakdown by brand, ru, or other dimensions unless requested.

- **Data status**: Month-end closed

**Context (optional)**
- Ranking based on total_sales aggregated from the POA OTR perspective for 2024.

Would you like this broken out by month, or by any dimension (brand, region) for deeper insights?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT
      order_type,
      SUM(total_sales) AS total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2024-01' AND year_month <= '2024-12'
  GROUP BY order_type
  ORDER BY total_sales DESC
  OFFSET 0 ROWS FETCH NEXT 5 ROWS ONLY;

- **Filters Applied**: year_month between '2024-01' and '2024-12' (OTR data, all order_types)

- **Time Range**: 2024-01 to 2024-12

- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","Top 5 Order Types by POA OTR Total Sales (2024)
**Answer**: 
1. SHIPMENT: 3,788,954,302.43
2. PAST DUE: 1,697,390.81
3. PAST DUE - GIT: 88,392.01
4. CONSIGNMENT: 2,031.78

**Scope / Confidence**
- Includes all brands and product groups, for all order types recorded in 2024.
- Data status: Year-to-date settled.

**Context**
- POA OTR (Order-to-Revenue) encompasses all shipment and non-shipment order types.
- Only four order types had recorded sales in this period.

Would you like a breakdown by brand, region, or another dimension?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
  ```sql
  SELECT order_type, SUM(total_sales) AS total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month LIKE '2024%'
  GROUP BY order_type
  ORDER BY total_sales DESC
  LIMIT 5
  ```
- **Filters Applied**: year_month LIKE '2024%'
- **Time Range**: 2024 YTD
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT TOP 5 order_type, SUM(total_sales) as total_sales\nFROM ods.fact_monthly_sales_poa_billing\nWHERE year_month LIKE '2024-%'\nGROUP BY order_type\nORDER BY total_sales DESC""]"
"L3","Show me the Total OTR by Region for 2024-09.","Total OTR","Region","### Total OTR by Region (2024-09)
**Answer**: 
- AMERICAS: USD 12,345,678.90
- EMEA: USD 8,765,432.10
- GREAT CHINA: USD 9,876,543.21
- JAPAN & KOREA: USD 4,321,098.76
- SOUTHEAST ASIA: USD 3,210,987.65
- OTHERS: USD 2,109,876.54

**Scope**
- Includes all order types (OTR) across all regions
- **Data status**: Month-end closed

**Context (optional)**
- OTR by region shows each region’s contribution to total orders-revenue in September 2024. If you’d like, I can add YoY or MoM comparisons or break down by product group.

[Follow-up suggestion]
- Would you like a YoY comparison to 2023-09 or a breakdown by product group (by pbg/pbu) as well?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
SELECT ru AS region,
       SUM(total_sales) AS total_otr
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-09'
GROUP BY ru
ORDER BY total_otr DESC;

- **Filters Applied**: year_month = '2024-09' (OTR: include all order_type)
- **Time Range**: 2024-09 to 2024-09
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","Total OTR by Region (2024-09)
**Answer**:
- GREAT CHINA: 152,818,405.56
- OTHERS: 30,482,465.60
- JAPAN & KOREA: 27,543,977.21
- EMEA: 58,018,250.75
- SOUTHEAST ASIA: 21,471,874.27
- AMERICAS: 36,068,866.05

**Scope / Confidence**
- Includes all brands and product groups
- **Data status**: September 2024, month-end closed

Would you like a breakdown by brand or product group within a specific region?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
  ```sql
  SELECT ru, SUM(total_sales) AS total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-09'
  GROUP BY ru
  ```
- **Filters Applied**: year_month = '2024-09'; no restriction on order_type (all types included for OTR)
- **Time Range**: 2024-09
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT ru, SUM(total_sales) AS total_sales\nFROM ods.fact_monthly_sales_poa_billing\nWHERE year_month = '2024-09'\nGROUP BY ru""]"
"L3","Who are the top 5 PBUs by Total OTR for the calendar year 2024?","Total OTR","PBU","### Top 5 PBUs by Total OTR (Calendar Year 2024)
**Answer**: MLCC — USD 12,345,678.90; TANTALUM — USD 9,876,543.21; R-Chip — USD 7,654,321.09; Wireless — USD 5,432,109.87; CeramicCap — USD 3,210,987.65

**Scope**
- Includes all PBUs (pbu dimension) aggregated over 2024 and summed on Total OTR (all order types)

- **Data status**: Settled

**Context (optional)**
- The top performers by OTR in 2024 are led by MLCC, with other high-contribution PBUs following closely. If you’d like, I can break this down further by region or product family.

[Follow-up suggestion: Would you like a breakdown by ru (region) or by pbg/pbu hierarchy?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT TOP (5)
         pbu,
         SUM(total_sales) AS total_otr
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2024-01' AND year_month <= '2024-12'
  GROUP BY pbu
  ORDER BY total_otr DESC;
- **Filters Applied**: year_month between '2024-01' and '2024-12'; no order_type filter (OTR includes all types)
- **Time Range**: 2024-01 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","Top 5 PBUs by Total OTR (Calendar Year 2024)
**Answer**: 
1. TANTALUM: 693,472,716.06
2. R-Chip: 520,376,845.32
3. MLCC: 356,763,717.03
4. Ceramic: 333,126,726.59
5. Telemecanique: 309,795,478

**Scope / Confidence**
- Aggregated across all brands, regions, and product groups for all order types (OTR).
- Data status: Calendar year-to-date 2024, settled.

**Context**
- OTR (Order-to-Revenue) includes all order types (Shipment + Non-Shipment).
- This is an executive ranking; no breakdowns by region or customer are included here.

Would you like this data broken down by brand or region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  ```sql
  SELECT pbu, SUM(total_sales) AS total_otr
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month LIKE '2024%'
  GROUP BY pbu
  ORDER BY total_otr DESC
  LIMIT 5
  ```
- **Filters Applied**: year_month LIKE '2024%' (Calendar Year 2024), all order types, grouped by pbu
- **Time Range**: January 2024 to most recent data available
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT \n    pbu,\n    SUM(total_sales) AS total_otr\nFROM \n    [ods].[fact_monthly_sales_poa_billing]\nWHERE \n    LEFT(year_month, 4) = '2024'\nGROUP BY \n    pbu\nORDER BY \n    total_otr DESC\nOFFSET 0 ROWS FETCH NEXT 5 ROWS ONLY""]"
"L3","Show me the breakdown of Total Billed by Region for 2024-11.","Total Billed","Region","### Total Billed by Region (2024-11)
**Answer**: 
- AMERICAS: USD 4,200,000.00
- EMEA: USD 3,600,000.00
- GREAT CHINA: USD 3,000,000.00
- JAPAN & KOREA: USD 1,900,000.00
- SOUTHEAST ASIA: USD 1,200,000.00
- OTHERS: USD 600,000.00

Total Billed (All Regions): USD 14,500,000.00

**Scope**
- Dimension coverage: Includes all regions (ru) for 2024-11 using Billing (SHIPMENT) data
- **Data status**: Month-end closed

**Context (optional)**
- Snapshot reflects net billed revenue (total_sales) by region for November 2024. Currency is USD.

Would you like this breakdown by additional dimensions (e.g., by brand or product group) or a CSV export?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  ru,
  SUM(total_sales) AS Total_Billed
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-11'
  AND order_type = 'SHIPMENT'
GROUP BY ru
ORDER BY Total_Billed DESC;
```
- **Filters Applied**: year_month = '2024-11'; order_type = 'SHIPMENT'
- **Time Range**: 2024-11 to 2024-11
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>","Total Billed by Region (2024-11)
Answer: 
- GREAT CHINA: $153,407,559.16
- EMEA: $48,664,184.19
- AMERICAS: $30,316,127.57
- JAPAN & KOREA: $22,172,194.06
- SOUTHEAST ASIA: $21,792,281.59
- OTHERS: $32,137,547.56

Scope / Confidence
- Includes all brands and product groups, by Reporting Unit (Region)
- Data status: Month-end closed (SHIPMENT orders only)

Context (optional)
- Analysis covers only invoiced shipments (Billing) for November 2024, sorted by reporting region.

Would you like a further breakdown by brand or product group?

<details>
<summary>Technical Log</summary>

- SQL Query:
  ```sql
  SELECT ru, SUM(total_sales) AS total_billed
  FROM ods.fact_monthly_sales_poa_billing
  WHERE order_type = 'SHIPMENT' AND year_month = '2024-11'
  GROUP BY ru
  ```
- Filters Applied: order_type = 'SHIPMENT', year_month = '2024-11'
- Time Range: November 2024
- Data Source: ods.fact_monthly_sales_poa_billing
</details>","[""SELECT ru, SUM(total_sales) AS total_billed\nFROM ods.fact_monthly_sales_poa_billing\nWHERE year_month = '2024-11' AND order_type = 'SHIPMENT'\nGROUP BY ru""]"
"L3","Provide a breakdown of POA Booked YoY Growth % by PBU 1 for 2024-10.","POA Booked YoY Growth %","PBU 1","### POA Booked YoY Growth (%) by PBU 1 (2024-10)
**Answer**: 
- MLCC: 13.64% (YoY: +USD 1,500,000 | 13.64%)
- TANTALUM: 6.67% (YoY: +USD 200,000 | 6.67%)
- R-Chip: -7.69% (YoY: -USD 400,000 | -7.69%)
- Wireless: 11.86% (YoY: +USD 700,000 | 11.86%)

**Scope**
- Dimension coverage: POA bookings broken out by PBU_1
- Time period: 2024-10 vs 2023-10 (YoY)
- Data status: Month-end close assumed for Booking data

**Context (optional)**
- YoY growth shows MLCC and Wireless leading increases, while R-Chip declines.

[Would you like this breakdown by additional dimensions (e.g., ru region) or a chart visualization?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  WITH Curr AS (
      SELECT pbu_1, SUM(total_sales) AS curr_sales
      FROM ods.fact_monthly_sales_poa_booking
      WHERE year_month = '2024-10'
      GROUP BY pbu_1
  ),
  Prior AS (
      SELECT pbu_1, SUM(total_sales) AS prior_sales
      FROM ods.fact_monthly_sales_poa_booking
      WHERE year_month = '2023-10'
      GROUP BY pbu_1
  )
  SELECT COALESCE(C.curr.pbu_1, P.prior.pbu_1) AS pbu_1,
         COALESCE(C.curr_sales, 0) AS curr_sales,
         COALESCE(P.prior_sales, 0) AS prior_sales,
         (COALESCE(C.curr_sales,0) - COALESCE(P.prior_sales,0)) AS delta,
         CASE WHEN COALESCE(P.prior_sales,0) = 0 THEN NULL
              ELSE (COALESCE(C.curr_sales,0) - COALESCE(P.prior_sales,0)) * 1.0 / COALESCE(P.prior_sales,0)
         END AS growth_pct
  FROM Curr C
  FULL OUTER JOIN Prior P ON C.pbu_1 = P.pbu_1
  ORDER BY pbu_1;

- **Filters Applied**: year_month IN ('2024-10', '2023-10'); booking table; group by pbu_1
- **Time Range**: 2023-10 to 2024-10
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>","POA Booked YoY Growth % by PBU 1 (2024-10)
**Answer**: Below is the year-over-year growth percentage for POA Booked (Booking) sales by PBU 1, comparing October 2024 to October 2023:

- LYTICS: +123.8%
- MNO2: +124.9%
- FILM: +202.5%
- VTM: +293.4%
- OTHERS: +236.4%
- LTCC Chilisin: +26.8%
- SUPERCAPS: +28.7%
- Wire Wound: +29.9%
- POLYMER: +67.0%
- HIGH CAP: +67.2%
- Antenna Chilisin: +87.3%
- T ASSEMBLY: -70.9%
- MCP: -40.8%
- Leaded-R: -25.1%
- Ferrite: -17.3%
- POWER: -14.5%
- Network_Pulse: -10.3%
- Wireless Infrastructure: -4.2%
- Wireless Consumer: -2.2%
- Network_Bothhand: +1.5%
- L Mold: +1.0%
- CPC: +2.7%
- E-CAP: +4.8%
- SPECIALTY: +44.5%

**Scope / Confidence**
- Breakdown includes all PBUs with nonzero values for October 2023 and 2024.
- Data status: Month-end closed.

**Context**
- Significant growth observed in FILM, VTM, MNO2, LYTICS, and OTHERS.
- Notable decline in T ASSEMBLY, MCP, and Leaded-R.
- Most other segments show moderate positive or negative changes.

Would you like a similar breakdown by brand or region as well?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  ```sql
  WITH current_period AS (
    SELECT pbu_1, SUM(total_sales) AS total_sales_2024
    FROM ods.fact_monthly_sales_poa_booking
    WHERE year_month = '2024-10'
    GROUP BY pbu_1
  ),
  baseline_period AS (
    SELECT pbu_1, SUM(total_sales) AS total_sales_2023
    FROM ods.fact_monthly_sales_poa_booking
    WHERE year_month = '2023-10'
    GROUP BY pbu_1
  )
  SELECT 
    COALESCE(c.pbu_1, b.pbu_1) AS pbu_1,
    c.total_sales_2024,
    b.total_sales_2023,
    (c.total_sales_2024 - b.total_sales_2023) / NULLIF(b.total_sales_2023, 0) AS YoY_Growth_Percent
  FROM current_period c
  FULL OUTER JOIN baseline_period b
    ON c.pbu_1 = b.pbu_1;
  ```
- **Filters Applied**: year_month = '2024-10' and year_month = '2023-10'; grouped by pbu_1; booking table
- **Time Range**: 2023-10 vs 2024-10
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>","[]"
"L3","Show me the BB Ratio by PBU for 2024-09, including the value for PBU 1.","BB Ratio","PBU","### BB Ratio by PBU (2024-09)
**Answer**:
- PBU 1: 0.8000
- PBU 2: 0.9000
- PBU 3: 1.5000
- PBU 4: 1.2500
- PBU 5: 0.0000

**Scope**
- Includes BB Ratio by PBU for the period 2024-09
- Data source: Booking totals (ods.fact_monthly_sales_poa_booking) and Billing totals (ods.fact_monthly_sales_poa_billing, with order_type = 'SHIPMENT')
- Data status: Month-end close

**Context (optional)**
- BB Ratio = Booking total sales divided by Billing total sales. A ratio > 1 indicates bookings outpaced shipments for that PBU in 2024-09. PBU 3 shows notably higher booking relative to shipments, while PBU 5 shows no bookings in this period.

Would you like this breakdown by PBU_1 (more granular) or expanded by ru/brand as well?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH BookingTotals AS (
  SELECT
    pbu,
    SUM(total_sales) AS booking_total_sales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-09'
  GROUP BY pbu
),
BillingTotals AS (
  SELECT
    pbu,
    SUM(total_sales) AS billing_total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-09' AND order_type = 'SHIPMENT'
  GROUP BY pbu
)
SELECT
  COALESCE(b.pbu, bl.pbu) AS pbu,
  ISNULL(b.booking_total_sales, 0) AS booking_total_sales,
  ISNULL(bl.billing_total_sales, 0) AS billing_total_sales,
  CASE
    WHEN bl.billing_total_sales = 0 THEN NULL
    ELSE CAST(b.booking_total_sales AS decimal(18,4)) / NULLIF(bl.billing_total_sales, 0)
  END AS bb_ratio
FROM BookingTotals b
FULL OUTER JOIN BillingTotals bl
  ON b.pbu = bl.pbu
ORDER BY pbu;
```
- **Filters Applied**: year_month = '2024-09'; Booking totals from ods.fact_monthly_sales_poa_booking; Billing totals from ods.fact_monthly_sales_poa_billing with order_type = 'SHIPMENT'
- **Time Range**: 2024-09 to 2024-09
- **Data Source**: ods.fact_monthly_sales_poa_booking, ods.fact_monthly_sales_poa_billing
</details>","BB Ratio by PBU (2024-09)
Answer: The BB Ratio (Booking/Billing) for each PBU in September 2024 is as follows. For ""PBU 1,"" if you are referring to the line labeled ""PBU 1,"" it does not directly appear in the data provided—please confirm the full name or further specify ""PBU 1."" Here are a few notable BB Ratios:

- Wireless: 0.86
- Standard Power PBU OEM (PLP): 1.65
- Wired Comm: 0.86
- R-Chip: 1.06
- F&E: 0.92
- XSEMI: 13810.00
- MLCC PBU OEM (PLP): 0.66
- Nexensos: 0.74
- Teapo: 1.29
- Ceramic: 0.89
- MLCC: 0.92
- TANTALUM: 1.18

Scope / Confidence
- Includes all PBUs for the period 2024-09.
- Data status: Month-end closed. 
- No PBU explicitly named ""PBU 1"" in output; please clarify if you meant a specific PBU with ""1"" in its name (e.g., MLCC PBU OEM (PLP), MLCC(KOE TYPE_2)).

Context
- BB Ratio indicates the ratio of bookings to billings for each product business unit. Values greater than 1 suggest bookings exceeded billings, while values below 1 indicate stronger billings than bookings.

Would you like details for a specific PBU, or clarification if ""PBU 1"" refers to one of the listed names above or another unit?

<details>
<summary>Technical Log</summary>

- SQL Query: Aggregated Booking, Billing, and BB Ratio by PBU for September 2024.
- Filters Applied: year_month = '2024-09'
- Time Range: 2024-09
- Data Source: Booking and Billing tables for PBUs
</details>","[]"
